id,climate,energy,environment,resources,sustainability,dedicated
314AA,0,0,0,0,0,0
557ZW,0,0,0,0,0,0
143II,0,0,0,0,0,0
646II,0,0,0,0,0,0
579II,0,0,0,0,0,0
536AA,0,0,0,0,0,0
313AA,0,0,0,0,0,0
534AA,0,0,0,0,0,0
130II,0,0,0,0,0,0
531AA,0,0,0,0,0,0
160II,0,0,0,0,0,0
158II,0,0,0,0,0,0
311AA,0,0,0,0,0,0
535AA,0,0,0,0,0,0
145II,0,0,0,0,0,0
571AA,0,0,0,0,0,0
533AA,0,0,0,0,0,0
306AA,0,0,0,0,0,0
581II,0,0,0,0,0,0
309AA,0,0,0,0,0,0
286AA,0,0,0,0,0,0
295AA,0,0,0,0,0,0
919II,0,0,0,0,0,0
373AA,0,0,0,0,0,0
303AA,0,0,0,0,0,0
294II,0,0,0,0,0,0
714AA,0,0,0,0,0,0
289AA,0,0,0,0,0,0
290AA,0,0,0,0,0,0
762AA,0,0,0,0,0,0
261AA,0,0,0,0,0,0
144II,0,0,0,0,0,0
570AA,0,0,0,0,0,0
161II,0,0,0,0,0,0
559II,0,0,0,0,0,0
582II,0,0,0,0,0,0
148II,0,0,0,0,0,0
918II,0,0,0,0,0,0
298AA,0,0,0,0,0,0
517AA,0,0,0,0,0,0
151II,0,0,0,0,0,0
312AA,0,0,0,0,0,0
302AA,0,0,0,0,0,0
288AA,0,0,0,0,0,0
521II,0,0,0,0,0,0
1076I,0,0,0,0,0,0
532AA,0,0,0,0,0,0
291AA,0,0,0,0,0,0
764AA,0,0,0,0,0,0
375AA,1,0,0,0,0,0
301AA,0,0,0,0,0,0
212EE,0,0,0,0,0,0
149DD,0,0,0,0,0,0
140CC,0,0,0,0,0,0
408EE,0,0,0,0,0,0
262DD,0,0,0,0,0,0
363BB,0,0,0,0,0,0
128EE,0,0,0,0,0,0
505GG,0,0,0,0,0,0
167HH,0,0,0,0,0,0
250DD,0,0,0,0,0,0
406EE,0,0,0,0,0,0
410EE,0,0,0,0,0,0
176DD,0,0,0,0,0,0
161DD,0,0,0,0,0,0
137EE,0,0,0,0,0,0
310GG,0,0,0,0,0,0
391BB,0,0,0,0,0,0
627AA,0,0,0,0,0,0
542EE,0,0,0,0,0,0
323CC,0,0,0,0,0,0
089DD,0,0,0,0,0,0
677II,0,0,0,0,0,0
247DD,0,0,0,0,0,0
127EE,0,0,0,0,0,0
425II,0,0,0,0,0,0
150EE,0,0,0,0,0,0
361BB,0,0,0,0,0,0
282EE,0,0,0,0,0,0
448EE,0,0,0,0,0,0
587AA,0,0,0,0,0,0
248DD,0,0,0,0,0,0
249DD,0,0,0,0,0,0
327GG,0,0,0,0,0,0
526EE,0,0,0,0,0,0
085DD,0,0,0,0,0,0
164BB,0,0,0,0,0,0
263DD,0,0,0,0,0,0
268DD,0,0,0,0,0,0
162DD,0,0,0,0,0,0
135EE,0,0,0,0,0,0
466EE,0,0,0,0,0,0
467EE,0,0,0,0,0,0
142FF,0,0,0,0,0,0
206EE,0,0,0,0,0,0
245BB,0,0,0,0,0,0
243DD,0,0,0,0,0,0
175DD,0,0,0,0,0,0
302QQ,0,0,1,0,1,0
160DD,0,0,0,0,0,0
139CC,0,0,0,0,0,0
158DD,0,0,0,0,0,0
251EE,0,0,0,0,0,0
406MM,0,0,0,0,0,0
362BB,0,0,0,0,0,0
339BB,0,0,0,0,0,0
269DD,0,0,0,0,0,0
174DD,0,0,0,0,0,0
244DD,0,0,0,0,0,0
286CC,0,0,0,0,0,0
018PP,0,0,0,0,0,0
449EE,0,0,0,0,0,0
1619Z,0,0,0,0,0,0
541EE,0,0,0,0,0,0
602AA,0,0,0,0,0,0
420AA,0,0,0,0,0,0
381NN,0,0,0,0,0,0
558ZW,0,0,0,0,0,0
667AA,0,0,0,0,0,0
635AA,0,0,0,0,0,0
627PP,0,0,0,0,0,0
654AA,0,0,0,0,0,0
801AA,0,0,0,0,0,0
687AA,0,0,0,0,0,0
751AA,0,0,0,0,0,0
668AA,0,0,0,0,0,0
049PP,0,0,0,0,0,0
784AA,0,0,0,0,0,0
265PP,0,0,0,0,0,0
357PP,0,0,0,0,0,0
255AA,0,0,0,0,0,0
765AA,0,0,0,0,0,0
631AA,0,0,0,0,0,0
641AA,0,0,0,0,0,0
537AA,0,0,0,0,0,0
783AA,0,0,0,0,0,0
278PP,0,0,0,0,0,0
629PP,0,0,0,0,0,0
1075I,0,0,0,0,0,0
628PP,0,0,0,0,0,0
787II,0,0,0,0,0,0
666AA,0,0,0,0,0,0
002NI,0,0,0,0,0,0
271AA,0,0,0,0,0,0
760AA,0,0,0,0,0,0
650AA,0,0,0,0,0,0
645AA,0,0,0,0,0,0
644AA,0,0,0,0,0,0
387AA,0,0,0,0,0,0
659AA,0,0,0,0,0,0
649AA,0,0,0,0,0,0
656AA,0,0,0,0,0,0
211AA,0,0,0,0,0,0
755AA,0,0,0,0,0,0
643AA,0,0,0,0,0,0
1073I,0,0,0,0,0,0
652AA,0,0,0,0,0,0
758AA,0,0,0,0,0,0
655AA,0,0,0,0,0,0
647AA,0,0,0,0,0,0
757AA,0,0,0,0,0,0
674AA,0,0,0,0,0,0
927ZW,0,0,0,0,0,0
756AA,0,0,0,0,0,0
646AA,0,0,0,0,0,0
791AA,0,0,0,0,0,0
657AA,0,0,0,0,0,0
599AA,0,0,0,0,0,0
648AA,0,0,0,0,0,0
642AA,0,0,0,0,0,0
653AA,0,0,0,0,0,0
660AA,0,0,0,0,0,0
2064Z,0,0,0,0,0,0
658AA,0,0,0,0,0,0
163CC,0,0,0,0,0,0
164CC,0,0,0,0,0,0
158CC,0,0,0,0,0,0
162CC,0,0,0,0,0,0
152CC,0,0,0,0,0,0
426II,0,0,0,0,0,0
208DD,0,0,0,0,0,0
150CC,0,0,0,0,0,0
156CC,0,0,0,0,0,0
166CC,0,0,0,0,0,0
141CC,0,0,0,0,0,0
161CC,0,0,0,0,0,0
196DD,0,0,0,0,0,0
236DD,0,0,0,0,0,0
205DD,0,0,0,0,0,0
211DD,0,0,0,0,0,0
233DD,0,0,0,0,0,0
326ZW,0,0,0,0,0,0
926ZW,0,0,0,0,0,0
229DD,0,0,0,0,0,0
227DD,0,0,0,0,0,0
226DD,0,0,0,0,0,0
275ZW,0,0,0,0,0,0
204DD,0,0,0,0,0,0
261DD,0,0,0,0,0,0
224DD,0,0,0,0,0,0
225DD,0,0,0,0,0,0
231DD,0,0,0,0,0,0
221DD,0,0,0,0,0,0
219DD,0,0,0,0,0,0
338BB,0,0,0,0,0,0
223DD,0,0,0,0,0,0
390BB,0,0,0,0,0,0
1045I,0,0,0,0,0,0
007DD,0,0,0,0,0,0
267DD,0,0,0,0,0,0
337BB,0,0,0,0,0,0
207DD,0,0,0,0,0,0
222DD,0,0,0,0,0,0
234DD,0,0,0,0,0,0
855II,0,0,0,0,0,0
280II,0,0,0,0,0,0
210DD,0,0,0,0,0,0
230DD,0,0,0,0,0,0
216DD,0,0,0,0,0,0
232DD,0,0,0,0,0,0
206DD,0,0,0,0,0,0
217DD,0,0,0,0,0,0
1046I,0,0,0,0,0,0
346BB,0,0,0,0,0,0
367LL,0,0,0,0,0,0
289LL,0,0,0,0,0,0
705LL,0,0,0,0,0,0
576LL,0,0,0,0,0,0
293MM,0,0,0,0,0,0
699LL,0,0,0,0,0,0
1848Z,0,0,0,0,0,0
208LL,0,0,0,0,0,0
200ZW,0,0,0,0,0,0
193ZW,0,0,0,0,0,0
1046L,0,0,0,0,0,0
269LL,0,0,0,0,0,0
381LL,0,0,0,0,0,0
1328L,0,0,0,0,0,0
707LL,0,0,0,0,0,0
266LL,0,0,0,0,0,0
088MM,0,0,0,0,0,0
135LL,0,0,0,0,0,0
1366L,0,0,0,0,0,0
1315L,0,0,0,0,0,0
873LL,0,0,0,0,0,0
1205L,0,0,0,0,0,0
293LL,0,0,0,0,0,0
1187L,0,0,0,0,0,0
268LL,0,0,0,0,0,0
286LL,0,0,0,0,0,0
278LL,0,0,0,0,0,0
2049Z,0,0,0,0,0,0
833LL,0,0,0,0,0,0
401ZW,0,0,0,0,0,0
346MM,0,0,0,0,0,0
333MM,0,0,0,0,0,0
1331L,0,0,0,0,0,0
374LL,0,0,0,0,0,0
451LL,0,0,0,0,0,0
370MM,0,0,0,0,0,0
275LL,0,0,0,0,0,0
064CC,0,0,0,0,0,0
1182L,0,0,0,0,0,0
098HH,0,0,0,0,0,0
282LL,0,0,0,0,0,0
618MM,0,0,0,0,0,0
585LL,0,0,0,0,0,0
1330L,0,0,0,0,0,0
028HH,0,0,0,0,0,0
113MM,0,0,0,0,0,0
2036Z,0,0,0,0,0,0
076MM,0,0,0,0,0,0
2035Z,0,0,0,0,0,0
125MM,0,0,0,0,0,0
276LL,0,0,0,0,0,0
285LL,0,0,0,0,0,0
089MM,0,0,0,0,0,0
166NN,0,0,0,0,0,0
077MM,0,0,0,0,0,0
1184L,0,0,0,0,0,0
1261L,0,0,0,0,0,0
253LL,0,0,0,0,0,0
475AA,0,0,0,0,0,0
082MM,0,0,0,0,0,0
265LL,0,0,0,0,0,0
933ZW,0,0,0,0,0,0
1906Z,0,0,0,0,0,0
260LL,0,0,0,0,0,0
1248Z,0,0,0,0,0,0
633MM,0,0,0,0,0,0
078MM,0,0,0,0,0,0
1274L,0,0,0,0,0,0
093MM,0,0,0,0,0,0
279LL,0,0,0,0,0,0
280LL,0,0,0,0,0,0
192ZW,0,0,0,0,0,0
1234L,0,0,0,0,0,0
1843Z,0,0,0,0,0,0
092MM,0,0,0,0,0,0
1367L,0,0,0,0,0,0
716LL,0,0,0,0,0,0
111DD,0,0,0,0,0,0
584LL,0,0,0,0,0,0
428AA,0,0,0,0,0,0
631ZW,0,0,0,0,0,0
367MM,0,0,0,0,0,0
1942Z,0,0,0,0,0,0
1941Z,0,0,0,0,0,0
267LL,0,0,0,0,0,0
1186L,0,0,0,0,0,0
1276L,0,0,0,0,0,0
110CC,0,0,0,0,0,0
1940Z,0,0,0,0,0,0
369EE,0,0,0,0,0,0
385EE,0,0,0,0,0,0
1005Z,0,0,0,0,0,0
444EE,0,0,0,0,0,0
362EE,0,0,0,0,0,0
046FF,0,0,0,0,0,0
261CC,0,0,0,0,0,0
087MM,0,0,0,0,0,0
096MM,0,0,0,0,0,0
367EE,0,0,0,0,0,0
295QQ,0,0,0,0,0,0
386EE,0,0,0,0,0,0
1323L,0,0,0,0,0,0
428MM,0,0,0,0,0,0
453MM,0,0,0,0,0,0
116MM,0,0,0,0,0,0
091MM,0,0,0,0,0,0
074MM,0,0,0,0,0,0
055MM,0,0,0,0,0,0
204LL,0,0,0,0,0,0
1914Z,0,0,0,0,0,0
067MM,0,0,0,0,0,0
349MM,0,0,0,0,0,0
427MM,0,0,0,0,0,0
216ZW,0,0,0,0,0,0
262LL,0,0,0,0,0,0
1044L,0,0,0,0,0,0
078QQ,0,0,0,0,0,0
470MM,0,0,0,0,0,0
641MM,0,0,0,0,0,0
160LL,0,0,0,0,0,0
082QQ,0,0,0,0,0,0
637MM,0,0,0,0,0,0
143PP,0,0,0,0,0,0
087QQ,0,0,0,0,0,0
157PP,0,0,0,0,0,0
100MM,0,0,0,0,0,0
356LL,0,0,0,0,0,0
1446Z,0,0,0,0,0,0
158PP,0,0,0,0,0,0
217ZW,0,0,0,0,0,0
108MM,0,0,0,0,0,0
1332L,0,0,0,0,0,0
642MM,0,0,0,0,0,0
357LL,0,0,0,0,0,0
169QQ,0,0,0,0,0,0
429MM,0,0,0,0,0,0
118MM,0,0,0,0,0,0
106MM,0,0,0,0,0,0
086QQ,0,0,0,0,0,0
264LL,0,0,0,0,0,0
359LL,0,0,0,0,0,0
205LL,0,0,0,0,0,0
640MM,0,0,0,0,0,0
256LL,0,0,0,0,0,0
081QQ,0,0,0,0,0,0
684MM,0,0,0,0,0,0
083MM,0,0,0,0,0,0
084QQ,0,0,0,0,0,0
425MM,0,0,0,0,0,0
107MM,0,0,0,0,0,0
085QQ,0,0,0,0,0,0
659MM,0,0,0,0,0,0
339MM,0,0,0,0,0,0
101MM,0,0,0,0,0,0
261LL,0,0,0,0,0,0
1189L,0,0,0,0,0,0
607MM,0,0,0,0,0,0
258LL,0,0,0,0,0,0
203LL,0,0,0,0,0,0
334MM,0,0,0,0,0,0
174LL,0,0,0,0,0,0
1014Z,0,0,0,0,0,0
688MM,0,0,0,0,0,0
255LL,0,0,0,0,0,0
259LL,0,0,0,0,0,0
685MM,0,0,0,0,0,0
683MM,0,0,0,0,0,0
340MM,0,0,0,0,0,0
081MM,0,0,0,0,0,0
176EE,0,0,0,0,0,0
182EE,0,0,0,0,0,0
051FF,0,0,0,0,0,0
177EE,0,0,0,0,0,0
294EE,0,0,0,0,0,0
188EE,0,0,0,0,0,0
183EE,0,0,0,0,0,0
548EE,0,0,0,0,0,0
178EE,0,0,0,0,0,0
538EE,0,0,0,0,0,0
2031Z,0,0,0,0,0,0
547EE,0,0,0,0,0,0
546EE,0,0,0,0,0,0
550NN,0,0,0,0,0,0
785AA,0,0,0,0,0,0
2028Z,0,0,0,0,0,0
1106I,0,0,0,0,0,0
549EE,0,0,0,0,0,0
1108I,0,0,0,0,0,0
001EI,0,0,0,0,0,0
550EE,0,0,0,0,0,0
023FE,0,0,0,0,0,0
545EE,0,0,0,0,0,0
552EE,0,0,0,0,0,0
2027Z,0,0,0,0,0,0
001CA,0,0,0,0,0,0
551EE,0,0,0,0,0,0
2025Z,0,0,0,0,0,0
1107I,0,0,0,0,0,0
022FE,0,0,0,0,0,0
371EE,0,0,0,0,0,0
138EE,0,0,0,0,0,0
073DD,0,0,0,0,0,0
045FF,0,0,0,0,0,0
284EE,0,0,0,0,0,0
144EE,0,0,0,0,0,0
288EE,0,0,0,0,0,0
062HH,0,0,0,0,0,0
216EE,0,0,0,0,0,0
1677Z,0,0,0,0,0,0
280EE,0,0,0,0,0,0
218EE,0,0,0,0,0,0
537EE,0,0,0,0,0,0
247GG,0,0,0,0,0,0
200EE,0,0,0,0,0,0
165GG,0,0,0,0,0,0
522EE,0,0,0,0,0,0
076DD,0,0,0,0,0,0
460PP,0,0,0,0,0,0
213EE,0,0,0,0,0,0
382EE,0,0,0,0,0,0
1938Z,0,0,0,0,0,0
354EE,0,0,0,0,0,0
296EE,0,0,0,0,0,0
1937Z,0,0,0,0,0,0
159EE,0,0,0,0,0,0
1939Z,0,0,0,0,0,0
166EE,0,0,0,0,0,0
173EE,0,0,0,0,0,0
116FF,0,0,0,0,0,0
115FF,0,0,0,0,0,0
295EE,0,0,0,0,0,0
292EE,0,0,0,0,0,0
299PP,0,0,0,0,0,0
358ZW,0,0,0,0,0,0
364LL,0,0,0,0,0,0
001MI,0,0,0,0,0,0
001ML,0,0,0,0,0,0
357ZW,0,0,0,0,0,0
294PP,0,0,0,0,0,0
295PP,0,0,0,0,0,0
1962Z,0,0,0,0,0,0
301PP,0,0,0,0,0,0
151NN,0,0,0,0,0,0
1961Z,0,0,0,0,0,0
300PP,0,0,0,0,0,0
152NN,0,0,0,0,0,0
296PP,0,0,0,0,0,0
2001Z,0,0,0,0,0,0
1959Z,0,0,0,0,0,0
1963Z,0,0,0,0,0,0
334NN,0,0,0,0,0,0
772II,0,0,0,0,0,0
769II,0,0,0,0,0,0
1960Z,0,0,0,0,0,0
299QQ,0,0,0,0,0,0
777II,0,0,0,0,0,0
224QQ,0,0,0,0,0,0
1584Z,0,0,0,0,0,0
1035I,0,0,0,0,0,0
2002Z,0,0,0,0,0,0
866II,0,0,0,0,0,0
771II,0,0,0,0,0,0
178DD,0,0,0,0,0,0
336NN,0,0,0,0,0,0
1779Z,0,0,0,0,0,0
225QQ,0,0,0,0,0,0
539NN,0,0,0,0,0,0
1776Z,0,0,0,0,0,0
775II,0,0,0,0,0,0
770II,0,0,0,0,0,0
2130Z,0,0,0,0,0,0
179QQ,0,0,0,0,0,0
672MM,0,0,0,0,0,0
1034I,0,0,0,0,0,0
333NN,0,0,0,0,0,0
246QQ,0,0,0,0,0,0
2005Z,0,0,0,0,0,0
118QQ,0,0,0,0,0,0
303QQ,0,0,0,0,0,0
184QQ,0,0,0,0,0,0
181QQ,0,0,0,0,0,0
1233Z,0,0,0,0,0,0
182QQ,0,0,0,0,0,0
175QQ,0,0,0,0,0,0
308NN,0,0,0,0,0,0
291QQ,0,0,0,0,0,0
150MM,0,0,0,0,0,0
541NN,0,0,0,0,0,0
442PP,0,0,0,0,0,0
177QQ,0,0,0,0,0,0
174QQ,0,0,0,0,0,0
1391L,0,0,0,0,0,0
173QQ,0,0,0,0,0,0
259QQ,0,0,0,0,0,0
298QQ,0,0,0,0,0,0
189NN,0,0,0,0,0,0
110QQ,0,0,0,0,0,0
1232Z,0,0,0,0,0,0
099QQ,0,0,0,0,0,0
232QQ,0,0,0,0,0,0
178QQ,0,0,0,0,0,0
538NN,0,0,0,0,0,0
258QQ,0,0,0,0,0,0
432MM,0,0,0,0,0,0
188PP,0,0,0,0,0,0
183QQ,0,0,0,0,0,0
179CC,0,0,0,0,0,0
175CC,0,0,0,0,0,0
337CC,0,0,0,0,0,0
238CC,0,0,0,0,0,0
1850Z,0,0,0,0,0,0
338CC,0,0,0,0,0,0
215CC,0,0,0,0,0,0
343ZW,0,0,0,0,0,0
190CC,0,0,0,0,0,0
191CC,0,0,0,0,0,0
210CC,0,0,0,0,0,0
357CC,0,0,0,0,0,0
195CC,0,0,0,0,0,0
356CC,0,0,0,0,0,0
182CC,0,0,0,0,0,0
204CC,0,0,0,0,0,0
355CC,0,0,0,0,0,0
359CC,0,0,0,0,0,0
257CC,0,0,0,0,0,0
351CC,0,0,0,0,0,0
208CC,0,0,0,0,0,0
187CC,0,0,0,0,0,0
352CC,0,0,0,0,0,0
142CC,0,0,0,0,0,0
186CC,0,0,0,0,0,0
200CC,0,0,0,0,0,0
209CC,0,0,0,0,0,0
383CC,0,0,0,0,0,0
207CC,0,0,0,0,0,0
212CC,0,0,0,0,0,0
198CC,0,0,0,0,0,0
213CC,0,0,0,0,0,0
183CC,0,0,0,0,0,0
287CC,0,0,0,0,0,0
381CC,0,0,0,0,0,0
180CC,0,0,0,0,0,0
143CC,0,0,0,0,0,0
361CC,0,0,0,0,0,0
315CC,0,0,0,0,0,0
196CC,0,0,0,0,0,0
194CC,0,0,0,0,0,0
203CC,0,0,0,0,0,0
184CC,0,0,0,0,0,0
230CC,0,0,0,0,0,0
176CC,0,0,0,0,0,0
