id,climate,energy,environment,resources,sustainability,dedicated
512154,0,0,0,0,0,0
509955,0,0,0,0,0,0
515121,0,0,0,0,0,0
507903,0,0,0,0,0,0
507174,0,0,0,0,0,0
512165,0,0,0,0,0,0
505919,0,0,0,0,0,0
505920,0,0,0,0,0,0
509047,0,0,0,0,0,0
505927,0,0,0,0,0,0
515450,0,0,0,0,0,0
515452,0,0,0,0,0,0
515449,0,0,0,0,0,0
515451,0,0,0,0,0,0
515448,0,0,0,0,0,0
505933,0,0,0,0,0,0
505938,0,0,0,0,0,0
505932,0,0,0,0,0,0
512171,0,0,0,0,0,0
511015,0,0,0,0,0,0
512815,0,0,0,0,0,0
507171,0,0,0,0,0,0
505935,0,0,0,0,0,0
505925,0,0,0,0,0,0
505930,0,0,0,0,0,0
511713,0,0,0,0,0,0
505790,0,0,0,0,0,0
509626,0,0,0,0,0,0
505808,0,0,0,0,0,0
505792,0,0,0,0,0,0
507941,0,0,0,0,0,0
507132,0,0,0,0,0,0
505787,0,0,0,0,0,0
507940,0,0,0,0,0,0
509627,0,0,0,0,0,0
508285,0,0,0,0,0,0
509300,0,0,0,0,0,0
509301,0,0,0,0,0,0
511888,0,0,0,0,0,0
505793,0,0,0,0,0,0
505789,0,0,0,0,0,0
505784,0,0,0,0,0,0
512195,0,0,0,0,0,0
505806,0,0,0,0,0,0
505800,0,0,0,0,0,0
505779,0,0,0,0,0,0
505781,0,0,0,0,0,0
505782,0,0,0,0,0,0
507131,0,0,0,0,0,0
505788,0,0,0,0,0,0
507944,0,0,0,0,0,0
515461,0,0,0,0,0,0
515459,0,0,0,0,0,0
515462,0,0,0,0,0,0
515458,0,0,0,0,0,0
505794,0,0,0,0,0,0
511715,0,0,0,0,0,0
505798,0,0,0,0,0,0
515712,0,0,0,0,0,0
515713,0,0,0,0,0,0
515715,0,0,0,0,0,0
515717,0,0,0,0,0,0
516708,0,0,0,0,0,0
515714,0,0,0,0,0,0
515716,0,0,0,0,0,0
515732,0,0,0,0,0,0
516709,0,0,0,0,0,0
516417,0,0,0,0,0,0
505870,0,0,0,0,0,0
516015,0,0,0,0,0,0
505862,0,0,0,0,0,0
505876,0,0,0,0,0,0
505880,0,0,0,0,0,0
505861,0,0,0,0,0,0
513354,0,0,0,0,0,0
516016,0,0,0,0,0,0
512731,0,0,0,0,0,0
514006,0,0,0,0,0,0
507136,0,0,0,0,0,0
513351,0,0,0,0,0,0
512728,0,0,0,0,0,0
512942,0,0,0,0,0,0
505857,0,0,0,0,0,0
505860,0,0,0,0,0,0
505873,0,0,0,0,0,0
505864,0,0,0,0,0,0
515125,0,0,0,0,0,0
505890,0,0,0,0,0,0
505879,0,0,0,0,0,0
513350,0,0,0,0,0,0
509051,0,0,0,0,0,0
505881,0,0,0,0,0,0
515315,0,0,0,0,0,0
505825,0,0,0,0,0,0
515117,0,0,0,0,0,0
505822,0,0,0,0,0,0
505835,0,0,0,0,0,0
505837,0,0,0,0,0,0
505821,0,0,0,0,0,0
513449,0,0,0,0,0,0
513452,0,0,0,0,0,0
515965,0,0,0,0,0,0
514005,0,0,0,0,0,0
513447,0,0,0,0,0,0
513328,0,0,0,0,0,0
513450,0,0,0,0,0,0
512724,0,0,0,0,0,0
512941,0,0,0,0,0,0
505818,0,0,0,0,0,0
505819,0,0,0,0,0,0
505834,0,0,0,0,0,0
505829,0,0,0,0,0,0
515130,0,0,0,0,0,0
507900,0,0,0,0,0,0
505848,0,0,0,0,0,0
513448,0,0,0,0,0,0
509050,0,0,0,0,0,0
513451,0,0,0,0,0,0
508706,0,0,0,0,0,0
512123,0,0,0,0,0,0
