id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
2223-2-F8501R011,0,0,0,0,0,0,0,1,0,0,0,0,0
2223-1-F8204B004,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8501R035,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8501R022,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8501R010,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8501R008,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8501R057,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8204B019,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8501R019,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8501R033,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-E1901R017,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-E1901R140,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-E1901R120,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-E1901R016,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-F8501R063,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8501R058,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-E1901R093,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8501R009,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-E1901R118,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-E1901R018,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-E1901R116,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-E1901R115,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-E1901R117,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8501R065,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-E1901R129,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-E1901R122,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-E1901R121,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-E1901R002,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-E1901R142,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-E1901R111,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-E1901R127,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-E1901R141,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-E1901R144,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-E1901R143,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-E1901R109,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-E1901R125,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-E1901R095,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-3-E1901R085,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-3-E1901R148,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-3-E1901R090,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-3-E1901R098,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-3-E1901R086,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-1-F8204B001,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-3-E1901R084,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-3-E1901R138,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-3-E1901R147,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-3-E1901R139,0,0,0,0,0,0,0,0,0,0,0,0,0
2223-2-E1901R128,0,0,0,0,0,0,0,0,0,0,0,0,0
