id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated
40/56,0,0,0,0,0,0,0,0,0,0,0,0,0
40/57,0,0,0,0,0,0,0,0,0,0,0,0,0
40/58,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0848,0,0,0,0,0,0,0,0,0,0,0,0,0
40/246/1,0,0,0,0,0,0,0,0,0,0,0,0,0
1148/1,0,0,0,0,0,0,0,0,0,0,0,0,0
40/333/2,0,0,0,0,0,0,0,0,0,0,0,0,0
2452/4,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0266,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0348,0,0,0,0,0,0,0,0,0,0,0,0,0
2822,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0838-1,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0435,0,0,0,0,0,0,0,0,0,0,0,0,0
8463/4,0,0,0,0,0,0,0,0,0,0,0,0,0
40/107/3,0,0,0,0,0,0,0,0,0,0,0,0,0
9395/2,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0277,0,0,0,0,0,0,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0,0,0,0,0,0,0
8168,0,0,0,0,0,0,0,0,0,0,0,0,0
40/47/4,0,0,0,0,0,0,0,0,0,0,0,0,0
MC/0279,0,0,0,0,0,0,0,0,0,0,0,0,0
40/04/1,0,0,0,0,0,0,0,0,0,0,0,0,0
IA/0073,0,0,0,0,0,0,0,0,0,0,0,0,0
IN/0227,0,0,0,0,0,0,0,0,0,0,0,0,0
IA/0216,0,0,0,0,0,0,0,0,0,0,0,0,0
IA/0074,0,0,0,0,0,0,0,0,0,0,0,0,0
70/LM-0090,0,0,0,0,0,0,0,0,0,0,0,0,0
IA/0110,0,0,0,0,0,0,0,0,0,0,0,0,0
IA/0176,0,0,0,0,0,0,0,0,0,0,0,0,0
IN/0065,0,0,0,0,0,0,0,0,0,0,0,0,0
70/LM-0056,0,0,0,0,0,0,0,0,0,0,0,0,0
IA/0204,0,0,0,0,0,0,0,0,0,0,0,0,0
70/LM-0098,0,0,0,0,0,0,0,0,0,0,0,0,0
IA/0070,0,0,0,0,0,0,0,0,0,0,0,0,0
70/LM-0010,0,0,0,0,0,0,0,0,0,0,0,0,0
IN/0124,0,0,0,0,0,0,0,0,0,0,0,0,0
IA/0205,0,0,0,0,0,0,0,0,0,0,0,0,0
IA/0177,0,0,0,0,0,0,0,0,0,0,0,0,0
IN/0130,0,0,0,0,0,0,0,0,0,0,0,0,0
IN/0131,0,0,0,0,0,0,0,0,0,0,0,0,0
IN/0229,0,0,0,0,0,0,0,0,0,0,0,0,0
IN/0066,0,0,0,0,0,0,0,0,0,0,0,0,0
IA/0039,0,0,0,0,0,0,0,0,0,0,0,0,0
IA/0033,0,0,0,0,0,0,0,0,0,0,0,0,0
70/LM-0080,0,0,0,0,0,0,0,0,0,0,0,0,0
IA/0150,0,0,0,0,0,0,0,0,0,0,0,0,0
IN/0129,0,0,0,0,0,0,0,0,0,0,0,0,0
IA/0040,0,0,0,0,0,0,0,0,0,0,0,0,0
IN/0228,0,0,0,0,0,0,0,0,0,0,0,0,0
IN/0064,0,0,0,0,0,0,0,0,0,0,0,0,0
70/LM-0096,0,0,0,0,0,0,0,0,0,0,0,0,0
IA/0278,0,0,0,0,0,0,0,0,0,0,0,0,0
2582,0,0,0,0,0,0,0,0,0,0,0,0,0
13174,0,0,0,0,0,0,0,0,0,0,0,0,0
IA/0206,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0095,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0049,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0101,0,0,0,0,0,0,0,0,0,0,0,0,0
SM/0018,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0057-2,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0058,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0096,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0061,0,0,0,0,0,0,0,0,0,0,0,0,0
SM/0152,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0038,0,0,0,0,0,0,0,0,0,0,0,0,0
SM/0175,0,0,0,0,0,0,0,0,0,0,0,0,0
60/67/242,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0053,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0063,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0033,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0055,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0098,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0099,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0050,0,0,0,0,0,0,0,0,0,0,0,0,0
60/67/108,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0052,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0051,0,0,0,0,0,0,0,0,0,0,0,0,0
SC/0062,0,0,0,0,0,0,0,0,0,0,0,0,0
