id,climate,energy,environment,resources,sustainability,dedicated
10607343-868,0,0,0,0,0,0
10607343-b5b,0,0,0,0,0,0
10607343-15d,0,0,0,0,0,0
1055962-eb3,0,0,0,0,0,0
1055962-1ca,0,0,0,0,0,0
1049390,0,0,0,0,0,0
10592725,0,0,0,0,0,0
10592726,0,0,0,0,0,0
10600055,0,0,0,0,0,0
1052124,0,0,0,0,0,0
10600597,0,0,0,0,0,0
10589487,0,0,0,0,0,0
10592727-9b3,0,0,0,0,0,0
10592727-6fc,0,0,0,0,0,0
10592944,0,0,0,0,0,0
1049392-f6a,0,0,0,0,0,0
1049392-c33,0,0,0,0,0,0
AAF1575,0,0,0,0,0,0
AAF1574,0,0,0,0,0,0
1017066,0,0,0,0,0,0
1017135,0,0,0,0,0,0
1026573,0,0,0,0,0,0
10596226,0,0,0,0,0,0
1055638,0,0,0,0,0,0
1026560,0,0,0,0,0,0
1017257,0,0,0,0,0,0
10600506,0,0,0,0,0,0
1038235,0,0,0,0,0,0
1051451,0,0,0,0,0,0
1017140,0,0,0,0,0,0
10596227,0,0,0,0,0,0
1010052,0,0,0,0,0,0
1010053,0,0,0,0,0,0
1018159,0,0,0,0,0,0
1044571-bd2,0,0,0,0,0,0
1044571-594,0,0,0,0,0,0
1022404,0,0,0,0,0,0
AAF1104,0,0,0,0,0,0
10607093-71b,0,0,0,0,0,0
10607093-035,0,0,0,0,0,0
10607094-971,0,0,0,0,0,0
10607094-351,0,0,0,0,0,0
10606766-d56,0,0,0,0,0,0
10606766-050,0,0,0,0,0,0
10607096-da8,0,0,0,0,0,0
10607096-7e1,0,0,0,0,0,0
10606760,0,0,0,0,0,0
10606758,0,0,0,0,0,0
10606757,0,0,0,0,0,0
1038456,0,0,0,0,0,0
10596460,0,0,0,0,0,0
10596474-ea8,0,0,0,0,0,0
10596474-b04,0,0,0,0,0,0
10596473-77d,0,0,0,0,0,0
10596473-828,0,0,0,0,0,0
AAF1041,0,0,0,0,0,0
AAF1137,0,0,0,0,0,0
10593073,0,0,0,0,0,0
1013710,0,0,0,0,0,0
1013718,0,0,0,0,0,0
1013719,0,0,0,0,0,0
1013712,0,0,0,0,0,0
1013723,0,0,0,0,0,0
AAF1212,0,0,0,0,0,0
1013717,0,0,0,0,0,0
1017517,0,0,0,0,0,0
1006627,0,0,0,0,0,0
1015450,0,0,0,0,0,0
1016861,0,0,0,0,0,0
1018133,0,0,0,0,0,0
1017178,0,0,0,0,0,0
1013711,0,0,0,0,0,0
1017104,0,0,0,0,0,0
10606367,0,0,0,0,1,1
10589554-fc6,0,0,0,0,0,0
10599811,0,0,0,0,0,0
10589561,0,0,0,0,0,0
10589554-319,0,0,0,0,0,0
1044022,0,0,0,0,0,0
1044037,0,0,0,0,0,0
1044038,0,0,0,0,0,0
10589572,0,0,0,0,0,0
1044040,0,0,0,0,0,0
1044035,0,0,0,0,0,0
1044015,0,0,0,0,0,0
1044041,0,0,0,0,0,0
1044013,0,0,0,0,0,0
1044042,0,0,0,0,0,0
10599810,0,0,0,0,0,0
10589585,0,0,0,0,0,0
1036101-66c,0,0,0,0,0,0
1036101-88b,0,0,0,0,0,0
1036101-097,0,0,0,0,0,0
1036101-6cc,0,0,0,0,0,0
1035260-c74,0,0,0,0,0,0
1035260-7cf,0,0,0,0,0,0
1035260-063,0,0,0,0,0,0
1035260-08c,0,0,0,0,0,0
1036311-818,0,0,0,0,0,0
1036311-aeb,0,0,0,0,0,0
1036311-906,0,0,0,0,0,0
1036311-d96,0,0,0,0,0,0
1036451-2b3,0,0,0,0,0,0
1036451-05e,0,0,0,0,0,0
