id,building,carbon,climate,economy,energy,food,general,life,pollution,prod&cons,resources,transport,dedicated,total
5834,0,0,1,0,0,0,0,1,1,0,0,1,1,3
0934-B70,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5697,3,1,1,0,2,0,0,3,1,0,0,1,2,6
0934-A75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9065-995,0,0,0,0,0,0,0,0,0,0,0,1,0,1
0924-B12,0,0,0,0,4,0,0,5,2,0,0,3,7,12
0935-C47,0,1,2,0,3,0,0,3,1,0,0,2,1,5
0935-C46,0,1,2,0,4,0,0,3,2,1,0,1,3,8
9066-A27,0,0,0,0,3,0,0,1,0,0,0,4,2,6
5822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9217-C50,0,0,0,0,0,0,0,0,0,0,0,1,0,1
8829-640,0,0,0,0,0,0,0,1,1,0,0,0,1,2
8888,1,0,0,1,0,0,0,4,1,0,1,2,0,6
0930-958,2,0,5,1,3,0,0,5,5,1,3,2,4,14
8896-973,0,0,0,0,3,0,0,4,7,0,0,2,4,8
8887,0,0,0,0,2,0,0,2,2,0,0,1,0,4
9082,0,0,0,0,0,0,0,1,0,0,0,1,0,2
8896-760,0,0,0,0,3,0,0,4,7,0,0,2,4,8
8896-598,0,0,2,1,3,0,0,4,5,0,1,2,5,7
0930-957,2,0,5,1,3,0,0,5,5,1,3,2,4,14
0930-862,2,0,5,1,3,0,0,5,5,1,3,2,4,14
0930-856,2,0,5,1,3,0,0,5,5,1,3,2,4,14
8829-597,3,0,1,0,1,0,0,1,0,0,0,0,1,5
9217-739,0,0,0,0,0,0,0,0,0,0,0,3,0,3
9066-A26,0,0,0,0,5,0,0,1,0,0,0,4,2,8
9234,0,0,0,0,0,0,0,1,1,0,0,1,0,3
8182,0,0,0,1,0,0,0,1,0,0,0,0,0,2
5699,0,0,1,0,1,0,0,0,0,0,1,9,3,9
8895-I01,1,0,4,2,3,0,0,6,2,2,6,3,3,15
5897,0,0,0,1,0,0,0,3,0,0,0,1,0,3
8895-C04,0,0,1,0,2,0,0,2,0,0,1,1,1,5
8891,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5695,0,0,0,0,0,0,0,5,2,0,1,0,2,6
9265,3,0,0,0,1,0,0,2,2,0,0,1,3,6
8895-A29,1,0,3,1,3,0,0,6,3,1,5,1,4,12
5917-C52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8895-A28,1,0,3,1,3,0,0,6,3,1,5,1,4,12
5917-C51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
