patterns,themes
micro[ -]?mobilit,['transport']
mobilita (?:a )?idrogen,['transport']
mobilita elettric,['transport']
mobilita sostenibil,['transport']
mobilita condivis,['transport']
trasport(?:o|i) sostenibil,['transport']
[[ ]biciclett(?:a|e)[ ]],['transport']
(?:veicol(?:o|i)|macchin(?:a|e)) (?:a )?idrogen,['transport']
(?:veicol(?:o|i)|macchin(?:a|e)) ibrid,['transport']
(?:veicol(?:o|i)|macchin(?:a|e)) elettric,['transport']
economi(?:a|e) circolar,['economy']
economi(?:a|e) dei beni comuni,['economy']
iso 1400,['economy']
micro[ -]?finanza verde,['economy']
(?:teori(?:a|e)|economi(?:a|e)) della ciambella,['economy']
collapsologia,['general']
